"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"USA","TERMTRADE","TOT","RT","A","1970",141.353209280087,
"USA","TERMTRADE","TOT","RT","A","1971",138.042540564358,
"USA","TERMTRADE","TOT","RT","A","1972",134.655368077644,
"USA","TERMTRADE","TOT","RT","A","1973",129.834294384164,
"USA","TERMTRADE","TOT","RT","A","1974",111.765419935193,
"USA","TERMTRADE","TOT","RT","A","1975",113.726242711329,
"USA","TERMTRADE","TOT","RT","A","1976",114.026116129173,
"USA","TERMTRADE","TOT","RT","A","1977",109.063851204841,
"USA","TERMTRADE","TOT","RT","A","1978",108.068253470484,
"USA","TERMTRADE","TOT","RT","A","1979",103.404802155682,
"USA","TERMTRADE","TOT","RT","A","1980",91.4249605068727,
"USA","TERMTRADE","TOT","RT","A","1981",93.1714126014371,
"USA","TERMTRADE","TOT","RT","A","1982",96.8668400852507,
"USA","TERMTRADE","TOT","RT","A","1983",101.051057783377,
"USA","TERMTRADE","TOT","RT","A","1984",102.885115254272,
"USA","TERMTRADE","TOT","RT","A","1985",103.212790029658,
"USA","TERMTRADE","TOT","RT","A","1986",101.479592489239,
"USA","TERMTRADE","TOT","RT","A","1987",97.8216458755132,
"USA","TERMTRADE","TOT","RT","A","1988",98.1344361713524,
"USA","TERMTRADE","TOT","RT","A","1989",97.6262780232625,
"USA","TERMTRADE","TOT","RT","A","1990",95.4401774441575,
"USA","TERMTRADE","TOT","RT","A","1991",97.314777981892,
"USA","TERMTRADE","TOT","RT","A","1992",96.7639427261654,
"USA","TERMTRADE","TOT","RT","A","1993",97.6720147093632,
"USA","TERMTRADE","TOT","RT","A","1994",97.8872170661447,
"USA","TERMTRADE","TOT","RT","A","1995",97.4070697946548,
"USA","TERMTRADE","TOT","RT","A","1996",97.8177584355967,
"USA","TERMTRADE","TOT","RT","A","1997",99.5536666512809,
"USA","TERMTRADE","TOT","RT","A","1998",102.728584274148,
"USA","TERMTRADE","TOT","RT","A","1999",101.348543389092,
"USA","TERMTRADE","TOT","RT","A","2000",98.968179144393,
"USA","TERMTRADE","TOT","RT","A","2001",100.799519099995,
"USA","TERMTRADE","TOT","RT","A","2002",101.134704841948,
"USA","TERMTRADE","TOT","RT","A","2003",99.7256815849066,
"USA","TERMTRADE","TOT","RT","A","2004",98.6629020884287,
"USA","TERMTRADE","TOT","RT","A","2005",96.4061579896951,
"USA","TERMTRADE","TOT","RT","A","2006",95.7712804155434,
"USA","TERMTRADE","TOT","RT","A","2007",96.0349434899927,
"USA","TERMTRADE","TOT","RT","A","2008",91.3580736053481,
"USA","TERMTRADE","TOT","RT","A","2009",96.6169674916291,
"USA","TERMTRADE","TOT","RT","A","2010",95.2252849347934,
"USA","TERMTRADE","TOT","RT","A","2011",94.063259084043,
"USA","TERMTRADE","TOT","RT","A","2012",94.5175105624339,
"USA","TERMTRADE","TOT","RT","A","2013",95.9076642255787,
"USA","TERMTRADE","TOT","RT","A","2014",96.6934530082502,
"USA","TERMTRADE","TOT","RT","A","2015",100,
"USA","TERMTRADE","TOT","RT","A","2016",101.465585727286,
"USA","TERMTRADE","TOT","RT","A","2017",101.8708545918,
"USA","TERMTRADE","TOT","RT","A","2018",102.513740029053,
"USA","TERMTRADE","TOT","RT","A","2019",103.677831491856,
"USA","TERMTRADE","TOT","RT","A","2020",103.396751766729,
"USA","TERMTRADE","TOT","RT","A","2021",107.348537109788,
